text,category_name,true_label_original,article_id,category,claened_text
"From: maynard@ramsey.cs.laurentian.ca (Roger Maynard)
Subject: Re: Plus minus stat
Organization: Dept. of Computer Science, Laurentian University, Sudbury, ON
Lines: 130

In <VFq32B2w165w@sms.business.uwo.ca> j3david@sms.business.uwo.ca (James David) writes:

>>If Gilmour was taken completely by surprise, as Gainey was, then
>>yeah, I would have to say that Doug wasn't playing
>>""technically"" smart  hockey.  In any case, to claim as Greg did,
>>that Gainey *never* made  a technical mistake is absolutely
>>ludicrous.
> 
>Later on, in your posting, you make reference to ""putting words
>into other people's mouths""...I would suggest that your last
>paragraph can only be interpreted in one way...namely, that I,
>along with Greg, claim that Gainey never made a technical
>mistake.  If you actually read what I've written, you will find
>that I make no such claim...soooo, if logic serves me well,
>you're contradicting yourself.

Nonsense.  I quite clearly state that it was Greg that made the claim
that Gainey never made an error.  And he made the claim. Read below.

From rec.sport.hockey Thu Apr 15 21:22:49 1993
From: gballent@hudson.UVic.CA (Greg  Ballentine)
Message-ID: <1993Apr15.160450.27799@sol.UVic.CA>

[nonsense deleted]

Gainey is the best defensive forward ever.  I stand by that assessment.
He was a very good player who belongs in the hall of fame.  Did you
ever watch him play? He never made a technical error.

[more nonsense deleted]

>>Good for you.  You'd only be displaying your ignorance of
>>course, but to each his own...
> 
>Roger, I'm not sure here, but I think ""ignorance"" is really a
>function of ""a lack of knowledge"" and not ""formulating an
>opinion""...but hey, if you need to take a cheap shot, then by all
>means go ahead...that's if it makes you feel better.

To knowledgeable observers of the game my meaning is obvious.  Your
hockey education is not my responsibility.
 
>My word, such vehemence against poor ol' Bob Gainey.  Why does
>he bother you so much...he was an effective player for his style
>of play.

He was just another player.  To laud him as anything more I find
bothersome.  I hated the Habs.  I hated Lafleur until I realized
that he was likely the most aesthetically pleasing player to ever 
skate in my lifetime.  Why would anyone talk about Gainey?
  
>>go  around.  Who would you rather have as your ""checking""
>>centre?  Doug Gilmour or Doug Jarvis?  For that matter I would
>>take either Gretzky or Mario as my ""checking"" centres.  Do you
>>think Gretzky could cover Bob Gainey?

>I'm really sorry Roger, but you have lost me completely here. 
>Why don't you ask me if I would rather have Jesus Christ,
>himself, in nets?

Did he play hockey at a high level?  Was he any good?  If not, why
would you bother to bring JC up?  I am talking about hockey players
here.  If you can't follow the conversation don't follow up.  As I
said previously, it is not my responsibility to educate you.

>Now, if you were to compare, say for example, Bob Gainey with Guy
>Carbonneau, you would have a balanced comparison.

Sure.  Two journeymen.  Big deal.  Neither one of them is worth
discussing.

>I'm wrong AGAIN...hmmm, let's see...where was I wrong in the

>>>I would take Fuhr and Sanderson off of the latter.

>first place?  I'm only guessing here, Rog, but I have a feeling
>that you've setup a ""You're wrong again"" macro key on your
>machine.

That is an excellent idea and if I decide to waste any more time
responding to any of your, or Greg's, postings then I will be sure
to implement that very macro.
 
>I would suggest that your comment: ""And when the press runs out
>of things to say about  the stars on dynasties they start to hype
>the pluggers.  Grant Fuhr, Essa Tikkannen, Butch Goring, Bob
>Nystrom, Bob Gainey, Doug Jarvis, Derek Sanderson, Wayne Cashman,
>Bob Baun, Bob Pulford, Ralph Backstrom, Henri Richard, Dick
>Duff...and so on..."" demonstrates a blanket disregard for these
>individuals as contributors to the game...so yes, settle
>down...nobody has claimed that they are hockey gods.

Tarasov claimed that Gainey was a ""hockey god.""  And Greg ate it up.
And that is what this thread is all about.  If you didn't know 
that then why are you responding?

And as for ""blanket disregard for these individuals"", I can remember 
Leaf teams, purely populated by such ""individuals"", winning four 
Stanley Cups.  Teams.  No one ran around telling us that George
Armstrong was the best hockey player in the world.

>>>congenially, as always,
>>> 
>>>jd
>>> 
>>>--
>>>James David
>>>david@student.business.uwo.ca
> 
>>You might consider developing your own style.  After all,
>>imitation is  the sincerest form of flattery and I am quite sure
>>that flattery is not  your intention.
> 
>C'mon...it has a nice ring to it...and admit it, you had a good
>laugh.

Right.  I had to get to the end of your posting before I realized you were 
a complete joke.

In the future, if you are going to respond to my postings I would appreciate
it if you could present a cogent argument supported by facts gleaned from a
version of reality that most of the rest of us would recognize.

cordially, as always, 

rm

-- 
Roger Maynard 
maynard@ramsey.cs.laurentian.ca 
",rec,rec.sport.hockey,53696,1,maynardramseycslaurentianca roger maynard subject plus minus stat organization dept computer science laurentian university sudbury line 130 vfq32b2w165wsmsbusinessuwoca j3davidsmsbusinessuwoca james david writes gilmour taken completely surprise gainey yeah would say doug wasnt playing technically smart hockey case claim greg gainey never made technical mistake absolutely ludicrous later posting make reference putting word people mouthsi would suggest last paragraph interpreted one waynamely along greg claim gainey never made technical mistake actually read ive written find make claimsoooo logic serf well youre contradicting nonsense quite clearly state greg made claim gainey never made error made claim read recsporthockey thu apr 15 212249 1993 gballenthudsonuvicca greg ballentine messageid 1993apr1516045027799soluvicca nonsense deleted gainey best defensive forward ever stand assessment good player belongs hall fame ever watch play never made technical error nonsense deleted good youd displaying ignorance course roger im sure think ignorance really function lack knowledge formulating opinionbut hey need take cheap shot mean go aheadthats make feel better knowledgeable observer game meaning obvious hockey education responsibility word vehemence poor ol bob gainey bother muchhe effective player style play another player laud anything find bothersome hated habs hated lafleur realized likely aesthetically pleasing player ever skate lifetime would anyone talk gainey go around would rather checking centre doug gilmour doug jarvis matter would take either gretzky mario checking centre think gretzky could cover bob gainey im really sorry roger lost completely dont ask would rather jesus christ net play hockey high level good would bother bring jc talking hockey player cant follow conversation dont follow said previously responsibility educate compare say example bob gainey guy carbonneau would balanced comparison sure two journeyman big deal neither one worth discussing im wrong againhmmm let seewhere wrong would take fuhr sanderson latter first place im guessing rog feeling youve setup youre wrong macro key machine excellent idea decide waste time responding gregs posting sure implement macro would suggest comment press run thing say star dynasty start hype plugger grant fuhr essa tikkannen butch goring bob nystrom bob gainey doug jarvis derek sanderson wayne cashman bob baun bob pulford ralph backstrom henri richard dick duffand demonstrates blanket disregard individual contributor gameso yes settle downnobody claimed hockey god tarasov claimed gainey hockey god greg ate thread didnt know responding blanket disregard individual remember leaf team purely populated individual winning four stanley cup team one ran around telling u george armstrong best hockey player world congenially always jd james david davidstudentbusinessuwoca might consider developing style imitation sincerest form flattery quite sure flattery intention cmonit nice ring itand admit good laugh right get end posting realized complete joke future going respond posting would appreciate could present cogent argument supported fact gleaned version reality rest u would recognize cordially always rm roger maynard maynardramseycslaurentianca
"From: James Leo Belliveau <jbc9+@andrew.cmu.edu>
Subject: First Bike??
Organization: Freshman, Mechanical Engineering, Carnegie Mellon, Pittsburgh, PA
Lines: 17
NNTP-Posting-Host: po2.andrew.cmu.edu

 Anyone, 

    I am a serious motorcycle enthusiast without a motorcycle, and to
put it bluntly, it sucks.  I really would like some advice on what would
be a good starter bike for me.  I do know one thing however, I need to
make my first bike a good one, because buying a second any time soon is
out of the question.  I am specifically interested in racing bikes, (CBR
600 F2, GSX-R 750).  I know that this may sound kind of crazy
considering that I've never had a bike before, but I am responsible, a
fast learner, and in love.  Please give me any advice that you think
would help me in my search, including places to look or even specific
bikes that you want to sell me.

    Thanks  :-)

    Jamie Belliveau (jbc9@andrew.cmu.edu)  

",rec,rec.motorcycles,104667,1,james leo belliveau jbc9andrewcmuedu subject first bike organization freshman mechanical engineering carnegie mellon pittsburgh pa line 17 nntppostinghost po2andrewcmuedu anyone serious motorcycle enthusiast without motorcycle put bluntly suck really would like advice would good starter bike know one thing however need make first bike good one buying second time soon question specifically interested racing bike cbr 600 f2 gsxr 750 know may sound kind crazy considering ive never bike responsible fast learner love please give advice think would help search including place look even specific bike want sell thanks jamie belliveau jbc9andrewcmuedu
"From: tankut@IASTATE.EDU (Sabri T Atan)
Subject: Re: ""Stretching from the Adriatic Sea to the Great Wall of China""
Reply-To: tankut@IASTATE.EDU (Sabri T Atan)
Organization: Iowa State University
Lines: 33

In article <1993Apr29.025008.4586@urartu.sdpa.org>, dbd@urartu.sdpa.org (David
Davidian) writes:
> In the following report: _Turkey Eyes Regional Role_ ANKARA, Turkey (AP)
> April 27, 1993, we find in the last paragraph:
> 
> [Turanist] Although Premier Suleyman Demirel criticized Ozal's often
> [Turanist] brash calls for more Turkish influence, he also has spoken
> [Turanist] of a swath of Turkic peoples ""stretching from the Adriatic
> [Turanist] Sea to the Great Wall of China.""
> 
> Who does Demirel think he is fooling? It seems at both ends of his envisioned
> pan-Turkic Empire -- the Balkans and the Caucasus -- Turkey's fascist boasts
> are being pre-empted.
> 
> I would suggest Turkey let the world feel some of their ""Grey Wolf Teeth"",
and
> attempt to stretch from the Adriatic to China! Turkey will have cried ""wolf""
> just once too much! 

Mentioning that Turkic people are wide-spread means desiring a Turkish empire?
Is that the logical thing to conclude from a statement like that? 
To me it just says that Turkey may have economical benefits from that
if she can be competitive enough. No more than that. But of course
you have the freedom of extrapolating as you wish from any statement.

One question: In what context did Ozal use the words you are quoting?
Can you give the whole speech. 

--
Tankut Atan
tankut@iastate.edu

""Achtung, baby!""
",talk,talk.politics.mideast,76536,3,tankutiastateedu sabri atan subject stretching adriatic sea great wall china replyto tankutiastateedu sabri atan organization iowa state university line 33 article 1993apr290250084586urartusdpaorg dbdurartusdpaorg david davidian writes following report turkey eye regional role ankara turkey ap april 27 1993 find last paragraph turanist although premier suleyman demirel criticized ozals often turanist brash call turkish influence also spoken turanist swath turkic people stretching adriatic turanist sea great wall china demirel think fooling seems end envisioned panturkic empire balkan caucasus turkey fascist boast preempted would suggest turkey let world feel grey wolf teeth attempt stretch adriatic china turkey cried wolf much mentioning turkic people widespread mean desiring turkish empire logical thing conclude statement like say turkey may economical benefit competitive enough course freedom extrapolating wish statement one question context ozal use word quoting give whole speech tankut atan tankutiastateedu achtung baby
"From: louray@seas.gwu.edu (Michael Panayiotakis)
Subject: Re: Boot-up sometimes fails.
Organization: George Washington University
Lines: 27

In article <dbasson.11.0@mattek.csir.co.za> dbasson@mattek.csir.co.za (Dominique Basson  ) writes:
>
>Dos 5 never used the area $E000 - $EFFF, as well as some others. If you have 
>any cards that use this are (such as a LAN card), you might get this 
>problem.
>
>Use the X=$E000-$EFFF in your EMM386.EXE line in config.sys. If you run 
>MemMaker then instruct it retain inclusions and exclusions.


Speaking of that.....
My comp has ""emmexclude=$e000-$efff"" or something of that nature in the
system.ini file.  Or some system file for *windows*.

I was just wondering if having that line in a *windows* startup file is
better, as it will give some more memory on dos apps., but disable it
when you run windows?

(Actually, I *do* think that that line is also in the system.1 file)

peace,
Mickey
-- 
pe-|| ||  MICHAEL PANAYIOTAKIS: louray@seas.gwu.edu 
ace|| ||                                   ...!uunet!seas.gwu.edu!louray
|||| \/|  *how do make a ms-windows .grp file reflect a HD directory??*
\\\\   |  ""well I ain't always right, but I've never been wrong..""(gd)
",comp,comp.os.ms-windows.misc,10059,0,lourayseasgwuedu michael panayiotakis subject bootup sometimes fails organization george washington university line 27 article dbasson110mattekcsircoza dbassonmattekcsircoza dominique basson writes do 5 never used area e000 efff well others card use lan card might get problem use xe000efff emm386exe line configsys run memmaker instruct retain inclusion exclusion speaking comp emmexcludee000efff something nature systemini file system file window wondering line window startup file better give memory do apps disable run window actually think line also system1 file peace mickey pe michael panayiotakis lourayseasgwuedu ace uunetseasgwuedulouray make mswindows grp file reflect hd directory well aint always right ive never wronggd
"From: kv07@IASTATE.EDU (Warren Vonroeschlaub)
Subject: Re: Albert Sabin
Reply-To: kv07@IASTATE.EDU (Warren Vonroeschlaub)
Organization: Ministry of Silly Walks
Lines: 30

In article <1993Apr15.225657.17804@rambo.atlanta.dg.com>, wpr@atlanta.dg.com
(Bill Rawlins) writes:
>       Since you have referred to the Messiah, I assume you are referring
>        to the New Testament.  Please detail your complaints or e-mail if
>        you don't want to post.  First-century Greek is well-known and
>        well-understood.  Have you considered Josephus, the Jewish Historian,
>        who also wrote of Jesus?  In addition, the four gospel accounts
>        are very much in harmony.  

  Bill, I find it rather remarkable that you managed to zero in on what is
probably the weakest evidence.

  What is probably the most convincing is the anti-Christian literature put out
by the Jewish councils in the second century.  There are enormous quantities of
detailed arguments against Christianity, many of the arguments still being used
today.  Despite volumes of tracts attacking Christianity, not one denies the
existance of Jesus, only of his activities.

  I find this considerably more compelling than Josephus or the harmony of the
gospels (especially considering that Matthew and Luke probably used Mark as a
source).

 |  __L__
-|-  ___  Warren Kurt vonRoeschlaub
 |  | o | kv07@iastate.edu
 |/ `---' Iowa State University
/|   ___  Math Department
 |  |___| 400 Carver Hall
 |  |___| Ames, IA  50011
 J  _____
",talk,talk.religion.misc,84048,3,kv07iastateedu warren vonroeschlaub subject albert sabin replyto kv07iastateedu warren vonroeschlaub organization ministry silly walk line 30 article 1993apr1522565717804ramboatlantadgcom wpratlantadgcom bill rawlins writes since referred messiah assume referring new testament please detail complaint email dont want post firstcentury greek wellknown wellunderstood considered josephus jewish historian also wrote jesus addition four gospel account much harmony bill find rather remarkable managed zero probably weakest evidence probably convincing antichristian literature put jewish council second century enormous quantity detailed argument christianity many argument still used today despite volume tract attacking christianity one denies existance jesus activity find considerably compelling josephus harmony gospel especially considering matthew luke probably used mark source l warren kurt vonroeschlaub kv07iastateedu iowa state university math department 400 carver hall ames ia 50011 j
"From: bm155@cleveland.freenet.edu (csthomas@gizmonic.UUCP)
Subject: xwd->gif conversions
Reply-To: bm155@cleveland.freenet.edu (shane thomas)
Distribution: na
Organization: The Gizmonic Institute
Lines: 14

Hello,

Anyone know of any source code I can get to either create window 
dumps in GIF format, or convert an XWD (x window dump) file 
into a GIF? Really could be any format I can manipulate in DOS, 
i.e. PCX, BMP, etc.

later,

shane

---
bm155@cleveland.freenet.edu {uucp:rutgers!devon!gizmonic!csthomas}
""God bless those Pagans..."" - H. Simpson
",comp,comp.windows.x,66894,0,bm155clevelandfreenetedu csthomasgizmonicuucp subject xwdgif conversion replyto bm155clevelandfreenetedu shane thomas distribution na organization gizmonic institute line 14 hello anyone know source code get either create window dump gif format convert xwd x window dump file gif really could format manipulate do ie pcx bmp etc later shane bm155clevelandfreenetedu uucprutgersdevongizmoniccsthomas god bless pagan h simpson
"From: earlw@apple.com (Earl Wallace)
Subject: Re: ""Proper gun control?"" What is proper gun control?
Distribution: usa
Organization: Apple Computer Inc. ESD/OSBU/Cross-Platform Software
Lines: 26
NNTP-Posting-Host: apple.com

In article <C5JAtz.5G4@cbnewsc.cb.att.com> rats@cbnewsc.cb.att.com (Morris the Cat) writes:
>...
>Let's prohibit arms carrying by police when off-duty. Or, if they make
>the assertion that ""Well, I need to maintain my gun"" let's make it
>regulation that they can carry an UNLOADED firearm home, that it's
>only fair that they be just as helpless as poor schmuck coming home
>from his computer operator job...
>
>NRA Director/ex-San Jose cop Leroy Pyle states in the latest SWAT
>magazine that anti-cops better watch out for this schism between
>RKBA folks and the police. He asks the rhetorical question of 'What
>if what's left of the gun lobby starts demanding the disarmament
>of the police?""
>
>Well, I guess anti-gun cops who think only they should be armed,
>along with the wealthy and politically connected, should be made
>to realize that screwing can cut in ways they have yet to imagine.
>...

We all know this will never happen.  Because the Police are under the wings
of Government, they will always be considered more important than Citizens.

Government pens, pencils and paper are considered more important than
Citizens.

I think we have a problem with our Government.
",talk,talk.politics.guns,54266,3,earlwapplecom earl wallace subject proper gun control proper gun control distribution usa organization apple computer inc esdosbucrossplatform software line 26 nntppostinghost applecom article c5jatz5g4cbnewsccbattcom ratscbnewsccbattcom morris cat writes let prohibit arm carrying police offduty make assertion well need maintain gun let make regulation carry unloaded firearm home fair helpless poor schmuck coming home computer operator job nra directorexsan jose cop leroy pyle state latest swat magazine anticops better watch schism rkba folk police asks rhetorical question whats left gun lobby start demanding disarmament police well guess antigun cop think armed along wealthy politically connected made realize screwing cut way yet imagine know never happen police wing government always considered important citizen government pen pencil paper considered important citizen think problem government
"From: louray@seas.gwu.edu (Michael Panayiotakis)
Subject: Re: MS-Windows access for the blind?
Organization: George Washington University
Lines: 36

In article <mtrottie.64.0@emr1.emr.ca> mtrottie@emr1.emr.ca (Marc Trottier) writes:
>In article <1993Apr22.172514.13025@cci632.cci.com> jfb@cci632.cci.com (John Bruno) writes:
>>From: jfb@cci632.cci.com (John Bruno)
>>Subject: MS-Windows access for the blind?
>>Date: Thu, 22 Apr 1993 17:25:14 GMT
>>We are developing an MS-Windows based product that uses a full screen window
>>to display ~24 rows of textual data.  Is there any product for Microsoft Windows
>>that will enable blind individuals to access the data efficiently (quickly) ??
>>
>>Please email responses and I will post a summary to this group.
>>
>>Thanks for any help
>>--- John Bruno
>>
>
>Apparently, Microsoft came out with a new product: MS-Braille it is suppose 
>to be ""WYTIWIG"".  :-)
>
>No offense.
> 
> 
> Marc Trottier / mtrottie@emr1.emr.ca 
>
>


AT the MICRO$OFT display at FOSE, there were a few computers running
windows, and win. apps for the  blind, I think.  Didn't pay much
attention to it, but it was there.

Mickey
-- 
pe-|| ||  MICHAEL PANAYIOTAKIS: louray@seas.gwu.edu 
ace|| ||                                   ...!uunet!seas.gwu.edu!louray
|||| \/|  *how do make a ms-windows .grp file reflect a HD directory??*
\\\\   |  ""well I ain't always right, but I've never been wrong..""(gd)
",comp,comp.os.ms-windows.misc,9821,0,lourayseasgwuedu michael panayiotakis subject mswindows access blind organization george washington university line 36 article mtrottie640emr1emrca mtrottieemr1emrca marc trottier writes article 1993apr2217251413025cci632ccicom jfbcci632ccicom john bruno writes jfbcci632ccicom john bruno subject mswindows access blind date thu 22 apr 1993 172514 gmt developing mswindows based product us full screen window display 24 row textual data product microsoft window enable blind individual access data efficiently quickly please email response post summary group thanks help john bruno apparently microsoft came new product msbraille suppose wytiwig offense marc trottier mtrottieemr1emrca microoft display fose computer running window win apps blind think didnt pay much attention mickey pe michael panayiotakis lourayseasgwuedu ace uunetseasgwuedulouray make mswindows grp file reflect hd directory well aint always right ive never wronggd
"From: an030@cleveland.Freenet.Edu (Broward Horne)
Subject: Re: The Manitoban Candidate
Organization: Case Western Reserve University, Cleveland, OH (USA)
Lines: 12
Reply-To: an030@cleveland.Freenet.Edu (Broward Horne)
NNTP-Posting-Host: hela.ins.cwru.edu


In a previous article, smith@phoneme.harvard.edu (Steven Smith) says:

>With yet another tax being floated by the Clinton administration to
>pay for new ``free'' social programs, I've really begun to suspect
>that the Canadians, long resentful of their place in the American
>shadow, brainwashed an American draft dodger who fled to Canada some


      Hey, he HAS been talking with Mulroney a lot, huh?


",talk,talk.politics.misc,178833,3,an030clevelandfreenetedu broward horne subject manitoban candidate organization case western reserve university cleveland oh usa line 12 replyto an030clevelandfreenetedu broward horne nntppostinghost helainscwruedu previous article smithphonemeharvardedu steven smith say yet another tax floated clinton administration pay new free social program ive really begun suspect canadian long resentful place american shadow brainwashed american draft dodger fled canada hey talking mulroney lot huh
"From: neil@stone.oz.au (Neil Watkinson)
Subject: COM3 COM4 is there a hardware standard ?
Organization: Stone Microsystems, NSW, Australia
Keywords: COM3 COM4
Lines: 19

Help....

I need to implement COM3 and COM4 on a board that I'm designing and I'm
finding it dificult to track down a definition (hardware that is) of COM3
and COM4.

I have the IO adresses and the fact that COM3 shares IRQ4 with COM1 and COM4
shares IRQ3 with COM2, except exactly how this IRQ sharing is done is not
clear especially if the existing COM1/2 does not allow IRQ sharing. Does the
standard??? allow for a different IRQ to be used and if so how.

Please answer by email to :-

      neil@stone.oz.au

thanks in advance

Neil Watkinson.

",comp,comp.sys.ibm.pc.hardware,58902,0,neilstoneozau neil watkinson subject com3 com4 hardware standard organization stone microsystems nsw australia keywords com3 com4 line 19 help need implement com3 com4 board im designing im finding dificult track definition hardware com3 com4 io adresses fact com3 share irq4 com1 com4 share irq3 com2 except exactly irq sharing done clear especially existing com12 allow irq sharing standard allow different irq used please answer email neilstoneozau thanks advance neil watkinson
